sku,name,isVisible,description,Descripción,stock,category,aplication,presentation
2700,SAVIA K 5W 40 SINTETICO,TRUE,"Alta resistencia natural a la oxidación, lo que permite un uso prolongado, manteniendo el motor limpio y extendiendo los períodos de recambio hasta 25.000 km, aun si fuera necesario agregar lubricante para mantener nivel. Se caracteriza por su alta protección bajo condiciones arduas de manejo y arranque en frío, resistente a la oxidación y al cizallamiento a bajas y elevadas temperaturas. Su alto índice de viscosidad garantiza una adecuada cuña lubricante a temperaturas extremas.\n\n",,1,['Vehículos'],Aceite de Carter,"Balde 20 Litros, Bidón 1 Litro, Bidón 4 Litros, Tambor 100 Litros, Tambor 200 Litros"
2115,SAVIA J 10W 40 SINTETICO,TRUE,"Ha sido especialmente desarrollado para cubrir los severos servicios de lubricación en los modernos motores nafteros o diesel a inyección o normalmente espirados o turbo alimentados, que operan bajo condiciones de trabajo rigurosas que necesita cumplir con SAE 10W40. Es compatible con todos los demás marcas de aceites multigrados sintéticos 10w40 de nivel internacional",,1,['Vehículos'],Aceite de Carter,"Balde 20 Litros, Bidón 1 Litro, Bidón 4 Litros, Tambor 100 Litros, Tambor 200 Litros"
2105,SAVIA S 5W 30 SINTETICO,TRUE,"Aceite lubricante sintético SAE 5W30 multigrado de alta performance, que ha sido desarrollado especialmente por KANSACO, para vehículos de uso diario y de última generación o que así lo exija el fabricante, equipados con motores nafteros o diesel de aspiración normal, por inyección o turboalimentados.",,1,['Vehículos'],Aceite de Carter,"Balde 20 Litros, Bidón 1 Litro, Bidón 4 Litros, Tambor 100 Litros, Tambor 200 Litros"
2180,SAVIA S 5W 20 SINTETICO,TRUE,"Aceite lubricante sintético SAE 5W20 multigrado de alta performance, que ha sido desarrollado especialmente por KANSACO para cubrir los severos servicios de lubricación provocando una cuña lubricante ligera y resistente con excelente arranque en frío. Antes de su uso, verificar siempre el manual de mantenimiento del vehículo",,1,['Vehículos'],Aceite de Carter,"Balde 20 Litros, Bidón 1 Litro, Bidón 4 Litros, Tambor 100 Litros, Tambor 200 Litros"
2130,SAVIA 0W 30 SINTETICO,TRUE,"Aceite lubricante sintético SAE 0W30 multigrado de alta performance, que ha sido desarrollado especialmente por KANSACO para cubrir los severos servicios de lubricación provocando una cuña lubricante ligera y resistente con excelente arranque en clima frío. Este lubricante 100% sintético permite a los motores de marcas de primera línea mundial, funcionar con aceite de bajas viscosidades que se mantienen en muy baja temperatura ambiente (-30º C) y también si estas son de 40º C y su cuña lubricante en ambos casos cumple con la lubricación adecuada y requerida por los fabricante de motores. \nOfrece la protección a altas temperaturas de los aceites de mayor viscosidad al tiempo que ofrece la mejor economía de combustible. \nAdecuado para más modernos motores pequeños de alta compresión, los cuales exigen aceites sintéticos de alta calidad y con elevada fluidez. \nArranque rápido y protección veloz en clima frío ayuda a prolongar la vida del motor.\n",,1,['Vehículos'],Aceite de Carter,"Balde 20 Litros, Bidón 1 Litro, Bidón 4 Litros, Tambor 100 Litros, Tambor 200 Litros"
2120,SAVIA 0W20 SINTETICO,TRUE,"Aceite lubricante sintético SAE 5W20 multigrado de alta performance, que ha sido desarrollado especialmente por KANSACO para cubrir los severos servicios de lubricación provocando una cuña lubricante ligera y resistente con excelente arranque en frío. Antes de su uso, verificar siempre el manual de mantenimiento del vehículo. \nOfrece la protección a altas temperaturas de los aceites de mayor viscosidad al tiempo que ofrece la mejor economía de combustible. \nAdecuado para más modernos motores pequeños de alta compresión, los cuales exigen aceites sintéticos de alta calidad y con elevada fluidez. \nArranque rápido y protección veloz en clima frío ayuda a prolongar la vida del motor.\n",,1,['Vehículos'],Aceite de Carter,"Balde 20 Litros, Bidón 1 Litro, Bidón 4 Litros, Tambor 100 Litros, Tambor 200 Litros"
2850,KAMOL 5W 40 SINTETICO COMPETICIÓN,TRUE,"Aceite lubricante 100% sintético, formulado para cumplir performance requerida en autos de competición, turismo carretera y TC2000 competición, turismo nacional clase 2, clase 3 y regionales. No apto para ser utilizado en vehículos de calle. Uso Exclusivo Competición. Su alto índice de viscosidad garantiza una adecuada cuña lubricante a temperaturas extremas. La ecuación de cumplir las máximas exigencias beneficios, con este lubricante es perfecta. Posee aditivos que modifican la fricción. Excelente lubricación de botadores, árbol de levas, aros, camisas y cigüeñal. Muy baja formación de espuma.",,1,['Vehículos'],Aceite de Carter,"Balde 20 Litros, Bidón 1 Litro, Bidón 4 Litros, Tambor 100 Litros, Tambor 200 Litros"
2110,SAVIA J 10W 40 PREMIUM,TRUE,"Aceite lubricante Premium SAE 10W40 multigrado de alta performance, que han sido desarrollado especialmente para vehículos de uso diario y de última generación y que así lo exija el fabricante, equipados con motores nafteros o diesel de aspiración normal, por inyección o turboalimentados.",,1,['Vehículos'],Aceite de Carter,"Balde 20 Litros, Bidón 1 Litro, Bidón 4 Litros, Tambor 100 Litros, Tambor 200 Litros"
2100,SAVIA S 5W 30 PREMIUM,TRUE,"La línea Savia S, ha sido especialmente desarrollada para cubrir los severos servicios de lubricación en los modernos motores nafteros o diesel a inyección o normalmente aspirados o turbo alimentados, que operan bajo condiciones de trabajo rigurosas que necesita cumplir con SAE 5W30, provocando una cuña lubricante ligera y resistente con excelente arranque en frío.",,1,['Vehículos'],Aceite de Carter,"Balde 20 Litros, Bidón 1 Litro, Bidón 4 Litros, Tambor 100 Litros, Tambor 200 Litros"
2140,SAVIA P 15W 50 PREMIUM,TRUE,"Es un lubricante multigrado semisintético resultado de la combinación de aceites minerales refinados con bases lubricantes sintéticas en proporción adecuada para lograr SAE 15W50, más una combinación de aditivos dispersantes-detergentes, anticorrosivos, antiespumantes, antioxidantes, disminuidores del coeficiente de rozamiento, etc. lo que garantiza una performance",,1,['Vehículos'],Aceite de Carter,"Balde 20 Litros, Bidón 1 Litro, Bidón 4 Litros, Tambor 100 Litros, Tambor 200 Litros"
